age,workclass,fnlwgt,education.num,marital.status,sex,capital.gain,capital.loss,hours.per.week,income,Race_Amer-Indian-Eskimo,Race_Asian-Pac-Islander,Race_Black,Race_Other,Race_White,occupation_Adm-clerical,occupation_Craft-repair,occupation_Exec-managerial,occupation_Other-service,occupation_Prof-specialty,occupation_Sales
38,6,175360,6,0,1,0,2559,90,1,0,0,0,0,1,0,0,0,0,1,0
23,6,44064,10,-1,1,0,2559,40,1,0,0,0,0,1,0,0,0,1,0,0
59,7,107287,6,-3,0,0,2559,50,1,0,0,0,0,1,0,0,1,0,0,0
52,6,198863,15,-2,1,0,2559,60,1,0,0,0,0,1,0,0,1,0,0,0
51,6,123011,13,-2,1,0,2559,50,1,0,0,0,0,1,0,0,1,0,0,0
60,5,205246,9,0,1,0,2559,50,1,0,0,1,0,0,0,0,1,0,0,0
63,4,39181,16,-2,0,0,2559,60,1,0,0,0,0,1,0,0,1,0,0,0
53,6,149650,9,0,1,0,2559,48,1,0,0,0,0,1,0,0,0,0,0,1
51,6,197163,15,0,0,0,2559,50,1,0,0,0,0,1,0,0,0,0,1,0
37,5,137527,16,0,0,0,2559,60,1,0,0,0,0,1,0,0,0,0,1,0
54,6,161691,14,-2,0,0,2559,40,1,0,0,0,0,1,0,0,0,0,1,0
44,6,326232,13,-2,1,0,2547,50,1,0,0,0,0,1,0,0,1,0,0,0
43,6,115806,14,-2,0,0,2547,40,1,0,0,0,0,1,0,0,1,0,0,0
51,6,115066,10,-2,0,0,2547,40,1,0,0,0,0,1,1,0,0,0,0,0
43,6,289669,14,-2,0,0,2547,40,1,0,0,0,0,1,0,0,0,0,1,0
71,0,100820,9,2,1,0,2489,15,0,0,0,0,0,1,0,0,0,1,0,0
48,6,121253,13,1,0,0,2472,70,1,0,0,0,0,1,0,0,0,0,0,1
71,6,110380,9,2,1,0,2467,52,0,0,0,0,0,1,0,0,0,0,0,1
73,5,233882,9,2,1,0,2457,40,0,0,1,0,0,0,0,0,0,1,0,0
68,0,192052,10,2,0,0,2457,40,0,0,0,0,0,1,0,0,0,1,0,0
67,0,174995,10,2,1,0,2457,40,0,0,0,0,0,1,0,0,0,1,0,0
40,5,335549,15,0,1,0,2444,45,1,0,0,0,0,1,0,0,0,0,1,0
50,6,237729,9,-3,0,0,2444,72,1,0,0,0,0,1,0,0,0,0,0,1
51,3,68898,11,-2,1,0,2444,39,1,0,0,0,0,1,0,0,0,1,0,0
42,6,107276,10,0,0,0,2444,40,1,0,0,0,0,1,0,0,1,0,0,0
39,6,141584,14,0,1,0,2444,45,1,0,0,0,0,1,0,0,0,0,0,1
32,6,207668,13,0,1,0,2444,50,1,0,0,0,0,1,0,0,1,0,0,0
53,6,313243,10,-1,1,0,2444,45,1,0,0,0,0,1,0,1,0,0,0,0
40,2,147372,10,0,1,0,2444,40,1,0,0,0,0,1,0,0,0,1,0,0
38,6,237608,13,0,0,0,2444,45,1,0,0,0,0,1,0,0,0,0,0,1
33,6,194901,11,-1,1,0,2444,42,1,0,0,0,0,1,0,1,0,0,0,0
43,6,155106,12,-2,1,0,2444,70,1,0,0,0,0,1,0,1,0,0,0,0
50,7,121441,7,0,1,0,2444,40,1,0,0,0,0,1,0,0,1,0,0,0
44,6,162028,10,2,0,0,2415,6,1,0,0,0,0,1,1,0,0,0,0,0
51,5,160724,13,2,1,0,2415,40,1,0,1,0,0,0,0,0,0,0,0,1
41,6,132222,15,2,1,0,2415,40,1,0,0,0,0,1,0,0,0,0,1,0
60,7,226355,11,2,1,0,2415,70,1,0,0,0,0,1,0,0,0,1,0,0
37,6,329980,14,2,1,0,2415,60,1,0,0,0,0,1,0,0,1,0,0,0
55,7,124137,15,2,1,0,2415,35,1,0,0,0,0,1,0,0,0,0,1,0
39,7,329980,13,2,1,0,2415,60,1,0,0,0,0,1,0,0,0,0,0,1
42,7,187702,15,2,1,0,2415,60,1,0,0,0,0,1,0,0,0,0,1,0
49,6,199029,13,2,1,0,2415,55,1,0,0,0,0,1,0,0,0,0,0,1
47,5,145290,9,2,1,0,2415,50,1,0,0,0,0,1,0,0,1,0,0,0
41,2,297248,15,2,1,0,2415,45,1,0,0,0,0,1,0,0,0,0,1,0
55,7,227856,13,2,1,0,2415,50,1,0,0,0,0,1,0,0,1,0,0,0
39,6,179731,14,2,0,0,2415,65,1,0,0,0,0,1,0,0,1,0,0,0
42,6,154374,13,2,1,0,2415,60,1,0,0,0,0,1,0,0,1,0,0,0
41,0,27187,11,2,1,0,2415,12,1,0,0,0,0,1,0,0,0,1,0,0
46,6,326857,14,2,1,0,2415,65,1,0,0,0,0,1,0,0,0,0,0,1
40,6,160369,14,2,1,0,2415,45,1,0,0,0,0,1,0,0,1,0,0,0
32,6,396745,13,2,1,0,2415,48,1,0,0,0,0,1,0,0,0,0,1,0
41,7,151089,10,2,1,0,2415,55,1,0,0,0,0,1,0,0,1,0,0,0
60,7,336188,15,2,1,0,2415,80,1,0,0,0,0,1,0,0,0,0,1,0
31,6,279015,14,2,1,0,2415,70,1,0,0,0,0,1,0,0,1,0,0,0
58,5,43221,10,2,1,0,2415,40,1,0,0,0,0,1,0,0,0,1,0,0
37,7,30529,13,2,1,0,2415,50,1,0,0,0,0,1,0,0,0,0,0,1
44,5,201742,13,2,1,0,2415,50,1,0,0,0,0,1,0,0,1,0,0,0
39,5,218490,15,2,1,0,2415,50,1,0,0,0,0,1,0,0,0,0,1,0
43,4,156996,15,2,1,0,2415,55,1,0,1,0,0,0,0,0,0,0,1,0
55,7,298449,13,2,1,0,2415,50,1,0,0,0,0,1,0,0,1,0,0,0
44,7,191712,14,2,1,0,2415,55,1,0,0,0,0,1,0,0,0,0,1,0
39,6,198654,15,2,1,0,2415,67,1,0,1,0,0,0,0,0,0,0,1,0
46,5,102308,13,2,1,0,2415,40,1,0,0,0,0,1,0,0,0,0,0,1
39,6,348521,10,2,1,0,2415,99,1,0,0,0,0,1,0,0,0,1,0,0
62,7,56248,13,2,1,0,2415,60,1,0,0,0,0,1,0,0,0,1,0,0
31,5,252752,9,2,0,0,2415,40,1,0,0,0,0,1,0,0,0,1,0,0
46,6,192963,13,2,1,0,2415,35,1,0,1,0,0,0,1,0,0,0,0,0
46,5,198759,15,2,1,0,2415,80,1,0,0,0,0,1,0,0,0,0,1,0
39,7,143123,11,2,1,0,2415,40,1,0,0,0,0,1,0,1,0,0,0,0
39,6,237713,15,2,1,0,2415,99,1,0,0,0,0,1,0,0,0,0,0,1
59,6,81929,16,2,1,0,2415,45,1,0,0,0,0,1,0,0,0,0,1,0
50,7,167793,15,2,1,0,2415,60,1,0,0,0,0,1,0,0,0,0,1,0
46,6,456062,16,2,1,0,2415,55,1,0,0,0,0,1,0,0,0,0,1,0
53,5,105478,13,2,1,0,2415,40,1,0,0,0,0,1,0,0,1,0,0,0
50,5,42402,15,2,1,0,2415,30,1,0,0,0,0,1,0,0,0,0,1,0
41,7,114580,15,2,0,0,2415,55,1,0,0,0,0,1,0,0,1,0,0,0
36,6,346478,13,2,1,0,2415,45,1,0,0,0,0,1,0,0,0,0,0,1
38,6,187870,15,2,1,0,2415,90,1,0,0,0,0,1,0,0,0,0,1,0
54,6,35576,10,2,1,0,2415,50,1,0,0,0,0,1,0,0,0,0,0,1
50,6,102346,13,2,0,0,2415,20,1,0,0,0,0,1,0,0,1,0,0,0
47,6,148995,13,2,1,0,2415,60,1,0,0,0,0,1,0,0,1,0,0,0
47,7,102308,15,2,1,0,2415,45,1,0,0,0,0,1,0,0,0,0,1,0
67,6,105252,13,-3,1,0,2392,40,1,0,0,0,0,1,0,0,1,0,0,0
67,7,106175,13,2,1,0,2392,75,1,0,0,0,0,1,0,0,1,0,0,0
72,5,52138,16,2,1,0,2392,25,1,0,0,0,0,1,0,0,0,0,1,0
72,0,118902,16,2,1,0,2392,6,1,0,0,0,0,1,0,0,0,1,0,0
46,7,191978,14,2,1,0,2392,50,1,0,0,0,0,1,0,0,1,0,0,0
78,7,188044,13,2,1,0,2392,40,1,0,0,0,0,1,0,0,1,0,0,0
71,7,66624,13,2,1,0,2392,60,1,0,0,0,0,1,0,0,1,0,0,0
83,7,153183,13,2,1,0,2392,55,1,0,0,0,0,1,0,0,1,0,0,0
68,6,211287,14,2,1,0,2392,40,1,0,0,0,0,1,0,0,1,0,0,0
26,6,181655,11,2,1,0,2377,45,0,0,0,0,0,1,1,0,0,0,0,0
68,3,235882,16,2,1,0,2377,60,1,0,0,0,0,1,0,0,0,0,1,0
49,7,158685,9,2,0,0,2377,40,1,0,0,0,0,1,1,0,0,0,0,0
36,6,370767,9,2,1,0,2377,60,0,0,0,0,0,1,0,0,0,0,1,0
70,5,155141,13,2,1,0,2377,12,1,0,0,0,0,1,0,1,0,0,0,0
27,6,156516,10,2,0,0,2377,20,0,0,0,1,0,0,1,0,0,0,0,0
35,2,177305,10,2,1,0,2377,40,0,0,0,0,0,1,0,0,1,0,0,0
23,6,162945,9,2,1,0,2377,40,0,0,0,0,0,1,0,0,0,0,0,1
81,6,177408,9,2,1,0,2377,26,1,0,0,0,0,1,0,0,1,0,0,0
66,5,427422,16,2,1,0,2377,25,1,0,0,0,0,1,0,0,0,0,0,1
71,6,152307,9,2,1,0,2377,45,1,0,0,0,0,1,0,0,1,0,0,0
68,6,218637,10,2,1,0,2377,55,1,0,0,0,0,1,0,0,0,0,0,1
68,3,202699,14,2,1,0,2377,42,1,0,0,0,0,1,0,0,0,0,1,0
65,0,240857,13,2,1,0,2377,40,1,0,0,0,0,1,0,0,0,1,0,0
52,6,222405,9,2,1,0,2377,40,0,0,0,1,0,0,0,0,0,0,0,1
40,7,110862,12,2,1,0,2377,50,0,0,0,0,0,1,0,1,0,0,0,0
68,0,257269,13,2,1,0,2377,35,1,0,0,0,0,1,0,0,0,1,0,0
21,6,377931,10,2,1,0,2377,48,0,0,0,0,0,1,0,0,1,0,0,0
35,6,192923,9,2,1,0,2377,40,0,0,0,0,0,1,0,1,0,0,0,0
70,7,207938,13,2,1,0,2377,50,1,0,0,0,0,1,0,0,1,0,0,0
61,5,36671,9,2,1,0,2352,50,0,0,0,0,0,1,0,0,0,1,0,0
65,7,81413,9,2,1,0,2352,65,0,0,0,0,0,1,0,0,0,1,0,0
46,6,214955,3,-2,0,0,2339,45,0,0,0,0,0,1,0,1,0,0,0,0
26,2,166295,13,0,1,0,2339,55,0,0,0,0,0,1,0,0,0,0,1,0
59,2,147707,9,-3,1,0,2339,40,0,0,0,0,0,1,0,0,0,1,0,0
61,6,43554,3,0,1,0,2339,40,0,0,0,1,0,0,0,0,0,1,0,0
60,3,358893,13,-2,0,0,2339,40,0,0,0,0,0,1,0,0,0,0,1,0
49,7,141058,10,-2,1,0,2339,50,0,0,0,0,0,1,0,0,1,0,0,0
34,6,25322,13,1,1,0,2339,40,0,0,1,0,0,0,0,0,0,1,0,0
25,6,77071,13,0,0,0,2339,35,0,0,0,0,0,1,0,0,0,0,1,0
55,6,158702,10,0,0,0,2339,45,0,0,0,1,0,0,1,0,0,0,0,0
59,2,171328,9,-1,0,0,2339,40,0,0,0,1,0,0,0,0,0,1,0,0
28,3,381789,10,-1,1,0,2339,40,0,0,0,0,0,1,0,0,1,0,0,0
43,0,152569,11,-3,0,0,2339,36,0,0,0,0,0,1,0,0,0,1,0,0
56,5,346635,14,-2,0,0,2339,60,0,0,0,0,0,1,0,0,0,0,0,1
41,6,162140,9,-2,1,0,2339,40,0,0,0,0,0,1,0,1,0,0,0,0
42,6,191765,9,0,0,0,2339,40,0,0,0,1,0,0,1,0,0,0,0,0
28,6,251905,15,0,1,0,2339,40,0,0,0,0,0,1,0,0,0,0,1,0
40,5,33310,15,-2,0,0,2339,35,0,0,0,0,0,1,0,0,0,1,0,0
69,6,228921,13,-3,1,0,2282,40,1,0,0,0,0,1,0,0,0,0,1,0
66,2,36364,9,2,1,0,2267,40,0,0,0,0,0,1,0,1,0,0,0,0
69,6,124930,3,2,1,0,2267,40,0,0,0,0,0,1,0,0,0,1,0,0
55,2,176046,14,2,0,0,2267,40,0,0,0,0,0,1,0,0,0,0,1,0
57,4,370890,9,0,1,0,2258,40,0,0,0,0,0,1,1,0,0,0,0,0
20,5,157145,10,0,1,0,2258,10,0,0,0,0,0,1,0,0,0,1,0,0
33,6,288825,9,-2,1,0,2258,84,0,0,0,0,0,1,0,1,0,0,0,0
30,5,257295,10,0,1,0,2258,40,0,0,1,0,0,0,0,0,0,0,0,1
40,6,287983,13,0,0,0,2258,48,0,0,1,0,0,0,0,0,0,1,0,0
38,6,101978,10,-1,1,0,2258,55,1,0,0,0,0,1,0,0,0,1,0,0
46,3,192779,12,-2,1,0,2258,38,1,0,0,0,0,1,1,0,0,0,0,0
29,6,135296,13,0,0,0,2258,45,1,0,0,0,0,1,0,0,1,0,0,0
57,4,199114,13,0,1,0,2258,40,0,0,0,0,0,1,1,0,0,0,0,0
39,6,156897,9,0,1,0,2258,42,1,0,0,0,0,1,0,1,0,0,0,0
47,6,138107,13,-2,1,0,2258,40,1,0,0,0,0,1,0,0,1,0,0,0
26,6,279833,13,0,1,0,2258,45,1,0,0,0,0,1,0,0,1,0,0,0
27,5,208577,9,0,1,0,2258,50,0,0,0,0,0,1,0,1,0,0,0,0
23,6,102942,13,0,0,0,2258,40,1,0,0,0,0,1,0,0,0,0,1,0
34,6,36385,14,0,1,0,2258,50,0,0,0,0,0,1,0,0,0,0,1,0
33,6,176185,8,-2,1,0,2258,42,0,0,0,0,0,1,0,1,0,0,0,0
38,2,162613,14,0,0,0,2258,60,0,0,0,0,0,1,0,0,0,0,1,0
57,6,121362,10,-3,0,0,2258,38,1,0,0,0,0,1,1,0,0,0,0,0
36,6,145933,9,0,1,0,2258,70,0,0,0,0,0,1,0,0,1,0,0,0
44,4,29591,13,-2,1,0,2258,40,1,0,0,0,0,1,0,0,0,1,0,0
49,3,269417,16,0,0,0,2258,50,1,0,0,0,0,1,0,0,1,0,0,0
44,7,178510,10,0,1,0,2258,60,0,0,0,0,0,1,0,0,0,0,0,1
55,6,41108,10,-3,1,0,2258,62,1,0,0,0,0,1,0,0,0,1,0,0
45,6,187901,9,-2,1,0,2258,44,1,0,0,0,0,1,0,0,0,1,0,0
48,6,175070,9,-2,0,0,2258,40,1,0,0,0,0,1,0,0,1,0,0,0
31,6,263561,13,2,1,0,2246,45,1,0,0,0,0,1,0,0,1,0,0,0
55,2,99131,9,2,0,0,2246,40,1,0,0,0,0,1,0,0,0,0,1,0
70,5,143833,10,2,1,0,2246,40,1,0,0,0,0,1,0,0,1,0,0,0
70,5,124449,14,2,1,0,2246,8,1,0,0,0,0,1,0,0,1,0,0,0
73,6,336007,13,2,1,0,2246,40,1,0,0,0,0,1,0,0,0,0,1,0
72,5,285408,15,2,1,0,2246,28,1,0,0,0,0,1,0,0,0,0,1,0
31,6,327825,9,-1,0,0,2238,40,0,0,0,0,0,1,0,0,0,1,0,0
28,6,129460,6,-3,0,0,2238,35,0,0,0,0,0,1,1,0,0,0,0,0
23,5,258298,13,0,1,0,2231,40,1,0,0,0,0,1,1,0,0,0,0,0
49,2,102359,5,-3,1,0,2231,40,1,0,0,0,0,1,0,0,0,1,0,0
27,2,92431,10,0,1,0,2231,40,1,0,0,0,0,1,0,0,0,1,0,0
90,6,51744,9,0,1,0,2206,40,0,0,0,1,0,0,0,0,0,1,0,0
68,6,166149,9,-3,0,0,2206,30,0,0,0,0,0,1,1,0,0,0,0,0
65,6,149811,9,-2,0,0,2206,59,0,0,0,0,0,1,1,0,0,0,0,0
65,0,143118,9,-3,0,0,2206,10,0,0,0,0,0,1,0,0,0,1,0,0
67,6,118363,13,-2,0,0,2206,5,0,0,0,0,0,1,0,0,1,0,0,0
66,2,362165,13,-3,0,0,2206,25,0,0,0,1,0,0,0,0,0,0,1,0
24,6,379066,10,0,1,0,2205,24,0,0,0,0,0,1,1,0,0,0,0,0
44,5,171424,10,-2,1,0,2205,35,0,0,0,0,0,1,0,0,0,1,0,0
35,6,108293,10,0,0,0,2205,40,0,0,0,0,0,1,1,0,0,0,0,0
20,6,107801,12,0,0,0,2205,18,0,0,0,0,0,1,0,0,0,1,0,0
38,6,126675,9,-2,1,0,2205,40,0,0,0,0,0,1,0,1,0,0,0,0
39,6,155603,10,0,0,0,2205,40,0,0,0,1,0,0,0,0,0,1,0,0
32,6,27882,10,0,0,0,2205,40,0,0,0,0,0,1,0,0,0,1,0,0
42,6,242564,4,0,1,0,2205,40,0,0,0,1,0,0,0,0,0,1,0,0
63,0,234083,9,-2,0,0,2205,40,0,0,0,0,0,1,0,0,0,1,0,0
42,7,23510,14,-2,1,0,2201,60,1,0,1,0,0,0,0,0,1,0,0,0
64,6,181232,7,2,1,0,2179,40,0,0,0,0,0,1,0,1,0,0,0,0
28,6,166481,4,2,1,0,2179,40,0,0,0,0,1,0,0,0,0,1,0,0
41,7,139916,11,2,1,0,2179,84,0,0,0,0,1,0,0,0,0,0,0,1
41,5,144594,4,2,1,0,2179,40,0,0,0,0,0,1,0,1,0,0,0,0
58,5,266707,2,2,1,0,2179,18,0,0,0,0,0,1,0,0,0,1,0,0
59,3,303176,10,2,1,0,2179,40,0,0,0,0,0,1,0,0,1,0,0,0
34,5,56460,9,2,0,0,2179,12,0,0,0,0,0,1,0,0,0,1,0,0
45,6,167523,9,2,1,0,2179,45,0,0,0,0,0,1,0,0,0,1,0,0
29,6,119004,9,2,0,0,2179,40,0,0,0,0,0,1,1,0,0,0,0,0
47,6,175925,6,2,1,0,2179,52,0,0,0,0,0,1,0,0,0,0,0,1
40,6,212847,10,2,1,0,2179,40,0,0,0,0,0,1,0,0,0,1,0,0
47,5,191175,3,2,1,0,2179,50,0,0,0,0,0,1,0,0,0,0,0,1
63,0,83043,13,2,1,0,2179,45,0,0,0,0,0,1,0,0,0,1,0,0
41,5,170214,9,2,1,0,2179,40,0,0,0,0,0,1,0,0,0,1,0,0
34,6,180714,10,2,1,0,2179,40,0,0,0,1,0,0,0,0,0,1,0,0
66,0,177351,13,2,1,0,2174,40,1,0,0,0,0,1,0,0,0,1,0,0
65,5,111483,10,2,1,0,2174,10,1,0,0,0,0,1,0,0,1,0,0,0
70,6,282642,9,2,1,0,2174,40,1,0,0,0,0,1,0,0,0,1,0,0
75,5,309955,15,2,1,0,2174,50,1,0,0,0,0,1,0,0,0,0,1,0
65,3,215908,9,2,1,0,2174,40,1,0,0,0,0,1,1,0,0,0,0,0
65,4,23494,10,2,1,0,2174,40,1,0,0,1,0,0,0,0,1,0,0,0
73,6,147551,10,2,1,0,2174,50,1,0,0,0,0,1,0,0,0,0,1,0
60,0,141221,13,2,1,0,2163,25,0,0,1,0,0,0,0,0,0,1,0,0
68,5,116903,11,2,1,0,2149,40,0,0,0,0,0,1,0,0,0,0,1,0
74,5,119129,9,2,1,0,2149,20,0,0,0,0,0,1,0,0,0,0,0,1
43,6,143582,3,2,0,0,2129,72,0,0,1,0,0,0,0,0,0,1,0,0
19,5,342384,7,2,1,0,2129,55,0,0,0,0,0,1,0,1,0,0,0,0
37,5,68899,9,2,1,0,2129,40,0,0,0,0,0,1,0,1,0,0,0,0
45,4,207107,12,-2,1,0,2080,40,0,0,1,0,0,0,1,0,0,0,0,0
64,6,149044,14,2,1,0,2057,60,0,0,1,0,0,0,0,0,0,0,1,0
30,6,148524,9,2,1,0,2057,40,0,0,0,0,0,1,0,0,0,1,0,0
51,5,268639,10,2,0,0,2057,60,0,0,0,0,0,1,0,0,0,0,1,0
35,6,272019,7,2,1,0,2057,40,0,0,0,0,0,1,0,1,0,0,0,0
29,6,239753,9,2,0,0,2057,20,0,0,0,0,0,1,1,0,0,0,0,0
34,6,199864,10,2,0,0,2057,40,0,0,0,0,0,1,1,0,0,0,0,0
41,6,125831,9,2,1,0,2051,60,0,0,0,0,0,1,0,1,0,0,0,0
35,6,67728,10,2,1,0,2051,45,0,0,0,0,0,1,0,1,0,0,0,0
26,6,115717,10,2,1,0,2051,40,0,0,0,0,0,1,1,0,0,0,0,0
54,6,172281,9,2,1,0,2051,50,0,0,0,0,0,1,0,0,0,1,0,0
52,2,305053,9,2,1,0,2051,40,0,0,0,0,0,1,0,1,0,0,0,0
50,5,105010,9,2,1,0,2051,20,0,0,0,0,0,1,0,0,0,1,0,0
31,6,291052,10,2,1,0,2051,40,0,0,0,0,0,1,1,0,0,0,0,0
38,4,248919,9,2,1,0,2051,40,0,0,0,0,0,1,0,0,0,1,0,0
30,6,84119,10,2,1,0,2051,40,0,0,0,0,0,1,0,1,0,0,0,0
34,2,105540,13,2,1,0,2051,40,0,0,0,0,0,1,0,0,0,0,1,0
31,6,161765,10,2,1,0,2051,57,0,0,0,0,0,1,0,0,0,0,0,1
52,6,195635,9,2,1,0,2051,38,0,0,0,0,0,1,0,0,0,1,0,0
54,6,816750,9,2,1,0,2051,40,0,0,0,0,0,1,0,1,0,0,0,0
38,6,160192,9,2,1,0,2051,44,0,0,0,0,0,1,0,1,0,0,0,0
39,6,136081,9,2,1,0,2051,40,0,0,0,0,0,1,0,0,0,1,0,0
29,6,244473,11,2,1,0,2051,40,0,0,0,0,0,1,0,0,0,1,0,0
45,6,187033,9,2,1,0,2051,40,0,0,0,0,0,1,0,1,0,0,0,0
34,6,265807,9,2,1,0,2051,55,0,0,0,0,0,1,0,0,0,1,0,0
38,6,154410,9,2,1,0,2051,40,0,0,0,0,0,1,0,1,0,0,0,0
39,6,314007,6,2,1,0,2051,40,0,0,0,0,0,1,0,1,0,0,0,0
61,6,179743,9,2,1,0,2051,20,0,0,0,0,0,1,0,1,0,0,0,0
43,6,117037,7,2,1,0,2042,40,0,0,0,0,0,1,0,0,0,1,0,0
35,6,40135,10,2,1,0,2042,40,0,0,0,0,0,1,0,0,0,1,0,0
46,6,315423,10,2,1,0,2042,50,0,0,0,0,0,1,0,0,0,0,0,1
38,6,35429,9,2,1,0,2042,40,0,0,0,0,0,1,0,0,0,1,0,0
42,5,120837,9,2,1,0,2042,48,0,0,0,0,0,1,0,1,0,0,0,0
34,6,90614,12,2,1,0,2042,10,0,0,0,0,0,1,0,0,0,1,0,0
29,6,202878,4,2,1,0,2042,40,0,0,0,0,0,1,0,0,0,1,0,0
32,6,260954,7,2,1,0,2042,30,0,0,0,0,0,1,0,1,0,0,0,0
60,6,127084,9,2,1,0,2042,34,0,0,0,0,0,1,0,0,0,1,0,0
49,2,107231,9,2,1,0,2002,40,0,0,0,0,0,1,0,1,0,0,0,0
53,2,135102,9,2,1,0,2002,45,0,0,0,0,0,1,0,0,0,1,0,0
56,6,201822,4,2,1,0,2002,40,0,0,0,0,0,1,0,0,0,1,0,0
48,6,413363,7,2,1,0,2002,40,0,0,0,0,0,1,0,0,0,1,0,0
32,4,148138,13,2,1,0,2002,40,0,0,1,0,0,0,0,0,0,0,1,0
42,5,170721,9,2,1,0,2002,40,0,0,0,0,0,1,0,1,0,0,0,0
32,6,102858,12,2,1,0,2002,42,0,0,0,0,0,1,0,0,0,0,1,0
28,2,175262,12,2,1,0,2002,40,0,0,0,0,0,1,0,0,0,1,0,0
26,6,36936,11,2,1,0,2002,40,0,0,0,0,0,1,0,1,0,0,0,0
59,6,169982,13,2,1,0,2002,50,0,0,0,0,0,1,0,0,1,0,0,0
47,5,208407,13,2,1,0,2002,30,0,0,0,0,0,1,0,0,0,0,1,0
26,0,131777,13,2,1,0,2002,40,0,0,0,0,0,1,0,0,0,1,0,0
41,6,41090,9,2,1,0,2002,60,0,0,0,0,0,1,0,1,0,0,0,0
36,6,183739,9,2,0,0,2002,40,0,0,0,0,0,1,0,1,0,0,0,0
45,6,357540,13,2,1,0,2002,55,0,0,0,0,0,1,0,0,0,0,0,1
30,6,48520,12,2,1,0,2002,40,0,0,0,0,0,1,0,0,0,0,1,0
36,6,107916,9,2,1,0,2002,40,0,0,0,0,0,1,0,0,0,1,0,0
34,7,198613,9,2,1,0,2002,40,0,0,0,0,0,1,0,0,1,0,0,0
53,6,283743,9,2,1,0,2002,40,0,0,0,0,0,1,0,0,0,1,0,0
51,6,210940,9,2,1,0,2002,45,0,0,0,0,0,1,0,0,0,0,0,1
47,5,355978,16,2,1,0,2002,45,0,0,0,0,0,1,0,0,0,1,0,0
19,0,241616,9,0,1,0,2001,40,0,0,0,0,0,1,0,0,0,1,0,0
30,6,57651,9,0,1,0,2001,42,0,0,0,0,0,1,1,0,0,0,0,0
20,6,315877,9,0,1,0,2001,40,0,0,0,0,0,1,0,0,0,1,0,0
42,4,74680,14,-2,1,0,2001,60,0,0,0,0,0,1,1,0,0,0,0,0
31,6,454508,7,0,1,0,2001,40,0,0,0,0,0,1,0,1,0,0,0,0
33,6,202046,13,0,1,0,2001,40,0,0,0,0,0,1,0,0,0,1,0,0
25,6,121102,12,0,0,0,2001,30,0,0,0,0,0,1,0,0,0,1,0,0
20,6,146879,9,0,1,0,2001,40,0,0,0,0,0,1,0,0,0,1,0,0
